pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
0,0,953329,23819592.06066437,24.98569964898201
0,1,237913,9256226.196767276,38.90592862419152
0,2,289,42236.33029937744,146.1464716241434
0,3,31,5075.500079154968,163.72580900499898
0,4,15,3507.8899841308594,233.8593322753906
0,5,11,343.10000133514404,31.19090921228582
0,6,20,974.9999837875366,48.74999918937683
0,7,17,541.2200050354004,31.836470884435318
0,8,14,454.979998588562,32.498571327754426
0,9,15,357.0500020980835,23.803333473205566
0,10,15,470.8200035095215,31.3880002339681
0,11,24,854.1099920272827,35.587916334470115
0,12,13,573.580002784729,44.12153867574838
0,13,22,689.2499990463257,31.329545411196623
0,14,20,1420.0100164413452,71.00050082206727
0,15,21,1286.8900089263916,61.280476615542455
0,16,21,681.590012550354,32.456667264302574
0,17,14,595.4099988937378,42.52928563526699
0,18,10,433.2600049972534,43.32600049972534
0,19,6,213.23999977111816,35.53999996185303
0,20,6,251.49999809265137,41.91666634877523
0,21,8,462.57000160217285,57.821250200271606
0,22,33,1292.4200057983398,39.164242599949695
0,23,190,5629.370017051697,29.628263247640508
1,0,202,5809.679988861084,28.760792024064774
1,1,634633,14837360.041533059,23.379433533290985
1,2,138811,4665752.542654796,33.61226806704653
1,3,1225,54983.179993867874,44.884228566422756
1,4,21,1510.8900270462036,71.94714414505731
1,5,19,3442.4000368118286,181.1789493058857
1,6,24,1138.8400015830994,47.45166673262914
1,7,17,624.1399984359741,36.7141175550573
1,8,3,86.60000228881836,28.86666742960612
1,9,5,211.25000381469727,42.25000076293945
1,10,3,48.60000038146973,16.200000127156574
1,11,7,422.9800000190735,60.42571428843907
1,12,6,119.19999980926514,19.86666663487752
1,13,7,422.85000801086426,60.407144001552034
1,14,11,286.790002822876,26.07181843844327
1,15,8,410.3900001049042,51.29875001311302
1,16,6,197.51000094413757,32.9183334906896
1,17,8,215.96000289916992,26.99500036239624
1,18,4,131.3399953842163,32.83499884605408
1,19,3,54.09999942779541,18.03333314259847
1,20,2,70.79000186920166,35.39500093460083
1,22,4,67.3400011062622,16.83500027656555
1,23,17,826.9500045776367,48.644117916331574
2,0,55,2480.650016784668,45.10272757790305
2,1,101,2639.989999771118,26.138514849218993
2,2,422380,9345239.858837333,22.125194987540443
2,3,81450,2564564.9402606953,31.486371273918913
2,4,101,13180.980040311813,130.5047528743744
2,5,24,745.9300055503845,31.08041689793269
2,6,15,948.9000062942505,63.2600004196167
2,7,6,184.95000457763672,30.825000762939453
2,9,4,144.18999862670898,36.047499656677246
2,10,5,262.2400007247925,52.4480001449585
2,11,2,113.94999694824219,56.974998474121094
2,12,6,204.45000457763672,34.07500076293945
2,13,3,56.140000343322754,18.71333344777425
2,14,3,45.59000110626221,15.196667035420736
2,15,8,198.64999771118164,24.831249713897705
2,16,10,146.2100009918213,14.62100009918213
2,17,7,914.1799917221069,130.5971416745867
2,20,1,73.23999786376953,73.23999786376953
2,21,1,75.05999755859375,75.05999755859375
2,22,2,77.60000133514404,38.80000066757202
2,23,4,82.25,20.5625
3,0,32,1140.6400117874146,35.645000368356705
3,1,6,247.38000392913818,41.23000065485636
3,2,73,1643.370005607605,22.511917885035686
3,3,270050,6021252.579135155,22.296806440048716
3,4,61466,2144907.8801419847,34.89584290733063
3,5,99,7669.990075111389,77.47464722334736
3,6,19,2675.9700050354004,140.84052658081055
3,7,5,248.5300054550171,49.706001091003415
3,8,7,345.5399971008301,49.36285672869001
3,9,2,297.9000015258789,148.95000076293945
3,10,2,562.930004119873,281.4650020599365
3,12,3,601.0300025939941,200.34333419799805
3,13,1,5.5,5.5
3,14,5,171.00000190734863,34.20000038146973
3,15,8,209.5299997329712,26.1912499666214
3,16,1,11.800000190734863,11.800000190734863
3,17,7,201.16000366210938,28.73714338030134
3,19,4,137.64999771118164,34.41249942779541
3,23,1,59.75,59.75
4,0,37,1046.250005722046,28.277027181676917
4,1,1,17.799999237060547,17.799999237060547
4,2,6,194.7700023651123,32.46166706085205
4,3,48,1440.9100008010864,30.018958350022633
4,4,196412,5166382.717470532,26.303803828027473
4,5,46926,2297125.699834246,48.95208839096122
4,6,320,22636.40002512932,70.73875007852912
4,7,19,1417.0300064086914,74.58052665308902
4,8,11,765.6700067520142,69.6063642501831
4,9,4,106.44000053405762,26.610000133514404
4,10,2,165.24000549316406,82.62000274658203
4,11,3,151.3600025177002,50.453334172566734
4,12,1,74.0,74.0
4,13,6,206.98999786376953,34.49833297729492
4,14,4,150.169997215271,37.54249930381775
4,15,6,163.3499984741211,27.224999745686848
4,16,6,203.4500036239624,33.908333937327065
4,17,1,118.9000015258789,118.9000015258789
4,18,2,110.49999618530273,55.24999809265137
4,20,1,12.5,12.5
4,21,1,600.0,600.0
5,0,30,1517.7000017166138,50.59000005722046
5,1,1,33.150001525878906,33.150001525878906
5,3,4,167.8300018310547,41.95750045776367
5,4,21,1021.5599985122681,48.645714214869905
5,5,182368,5327133.676341493,29.21090145388167
5,6,80388,4008113.7386168987,49.85960265981115
5,7,1457,87211.30984306335,59.85676722241823
5,8,72,4812.910007476807,66.84597232606676
5,9,16,2100.1399841308594,131.2587490081787
5,10,7,444.68000411987305,63.52571487426758
5,11,2,113.75,56.875
5,12,5,265.57999992370605,53.11599998474121
5,13,3,162.19000244140625,54.063334147135414
5,14,2,55.630001068115234,27.815000534057617
5,15,4,112.17000102996826,28.042500257492065
5,16,6,335.3600025177002,55.893333752950035
5,17,1,54.900001525878906,54.900001525878906
5,18,1,36.0,36.0
5,21,1,80.94000244140625,80.94000244140625
5,23,3,182.35000228881836,60.78333409627279
6,0,66,2955.5600023269653,44.781212156469174
6,1,1,90.95999908447266,90.95999908447266
6,2,1,69.0,69.0
6,3,1,82.69000244140625,82.69000244140625
6,4,6,359.92000007629395,59.986666679382324
6,5,262,7251.22998046875,27.676450307132633
6,6,403663,9501002.975208854,23.53696765670585
6,7,176050,7494252.306111384,42.568885578593495
6,8,6037,435194.1804339886,72.08782183766583
6,9,234,14912.910013198853,63.73038467178997
6,10,34,3300.3499851226807,97.06911720949061
6,11,16,1043.170009613037,65.19812560081482
6,12,10,1164.3900079727173,116.43900079727173
6,13,5,489.44998359680176,97.88999671936035
6,14,2,22.59000015258789,11.295000076293945
6,15,4,448.6399898529053,112.15999746322632
6,16,3,267.6999931335449,89.23333104451497
6,17,3,110.75,36.916666666666664
6,18,1,107.41999816894531,107.41999816894531
6,19,1,75.75,75.75
6,20,1,44.75,44.75
6,21,1,57.75,57.75
6,23,1,102.41999816894531,102.41999816894531
7,0,122,5972.580035209656,48.95557405909554
7,2,1,74.6500015258789,74.6500015258789
7,3,1,90.66000366210938,90.66000366210938
7,4,1,16.170000076293945,16.170000076293945
7,5,5,210.92999839782715,42.18599967956543
7,6,95,3181.25,33.48684210526316
7,7,790639,16833142.67517336,21.290554444156385
7,8,330884,12568394.589961212,37.98429235007197
7,9,11703,901309.8509616852,77.01528248839487
7,10,326,23778.5400724411,72.94030697067822
7,11,45,5209.85999584198,115.77466657426622
7,12,23,1041.2000102996826,45.269565665203594
7,13,13,1305.1500029563904,100.3961540735685
7,14,8,469.710000038147,58.71375000476837
7,15,5,579.5600075721741,115.91200151443482
7,16,1,10.5,10.5
7,17,5,230.23000144958496,46.04600028991699
7,18,1,73.25,73.25
7,20,1,73.25,73.25
7,23,1,82.69000244140625,82.69000244140625
8,0,131,6252.860052108765,47.73175612296767
8,3,1,80.94000244140625,80.94000244140625
8,4,1,121.0,121.0
8,5,1,75.75,75.75
8,6,10,450.5699987411499,45.05699987411499
8,7,112,3726.420006752014,33.271607203142985
8,8,1123067,24030776.72891561,21.397456010118372
8,9,431172,15990441.621011345,37.08599264565265
8,10,7759,568025.9407081604,73.20865326822533
8,11,276,20602.67999982834,74.64739130372587
8,12,50,4350.740031242371,87.01480062484741
8,13,21,1525.6500091552734,72.6500004359654
8,14,19,999.1500101089478,52.58684263731304
8,15,8,292.5900001525879,36.573750019073486
8,16,7,306.73999786376953,43.81999969482422
8,17,2,29.5,14.75
8,18,4,85.44000244140625,21.360000610351562
8,19,1,87.69000244140625,87.69000244140625
8,20,2,168.44000244140625,84.22000122070312
8,21,1,87.87999725341797,87.87999725341797
8,23,2,136.72999572753906,68.36499786376953
9,0,145,7624.320034980774,52.581517482626026
9,1,1,74.0,74.0
9,2,1,23.75,23.75
9,4,2,85.55999946594238,42.77999973297119
9,5,3,358.45000076293945,119.48333358764648
9,6,6,338.49000549316406,56.415000915527344
9,7,11,532.6299962997437,48.42090875452215
9,8,172,4938.29000377655,28.71098839404971
9,9,1241835,26950359.70595502,21.70204552614077
9,10,460248,17070546.463149436,37.08988732846082
9,11,6362,466419.2506914139,73.31330567296666
9,12,274,20588.659988880157,75.14109484992758
9,13,72,4286.1500034332275,59.52986115879483
9,14,29,1576.2400016784668,54.35310350615403
9,15,13,2553.16997051239,196.3976900394146
9,16,9,990.9899921417236,110.10999912685818
9,17,5,513.6700057983398,102.73400115966797
9,18,6,696.0699996948242,116.01166661580403
9,19,3,89.55000305175781,29.850001017252605
9,20,1,26.34000015258789,26.34000015258789
9,21,1,10.100000381469727,10.100000381469727
10,0,173,8880.860000610352,51.33445087058006
10,5,5,503.45000076293945,100.69000015258788
10,6,3,67.75,22.583333333333332
10,7,7,350.04000091552734,50.005714416503906
10,8,30,1430.3200011253357,47.67733337084452
10,9,266,8205.29999256134,30.846992453238123
10,10,1318127,28782811.57843128,21.836144452265433
10,11,505528,19138074.940666065,37.85759629667608
10,12,6952,531932.9707300663,76.5150993570291
10,13,305,26427.730139255524,86.6482955385427
10,14,81,5358.379991531372,66.15283940162188
10,15,37,3833.3900184631348,103.60513563413878
10,16,19,1855.7100143432617,97.66894812332957
10,17,11,2044.040005683899,185.82181869853628
10,18,12,1044.379997253418,87.03166643778484
10,19,7,2636.0899529457092,376.58427899224415
10,20,5,98.89999961853027,19.779999923706054
10,21,2,187.90000343322754,93.95000171661377
10,22,3,247.3900032043457,82.46333440144856
10,23,4,287.53000259399414,71.88250064849854
11,0,172,8920.120015144348,51.86116287874621
11,4,3,138.89999961853027,46.29999987284342
11,5,2,102.84000205993652,51.42000102996826
11,6,2,23.399999618530273,11.699999809265137
11,7,1,35.04999923706055,35.04999923706055
11,8,6,120.72000122070312,20.12000020345052
11,9,25,1070.1000061035156,42.804000244140624
11,10,250,7850.29000043869,31.40116000175476
11,11,1403982,30736057.54151211,21.892059543150918
11,12,577603,21696230.635580756,37.56253107338562
11,13,8604,655589.4105353355,76.19588685905806
11,14,453,35394.90012669563,78.13443736577402
11,15,88,7285.480046272278,82.7895459803668
11,16,28,1659.8600044250488,59.28071444375174
11,17,17,854.4700021743774,50.26294130437515
11,18,15,1032.999997138977,68.86666647593181
11,19,6,292.04000091552734,48.673333485921226
11,20,3,482.73998641967773,160.91332880655924
11,21,3,89.8499984741211,29.9499994913737
11,22,2,155.1400032043457,77.57000160217285
11,23,1,23.0,23.0
12,0,197,9741.679992675781,49.450152247085185
12,3,1,116.08999633789062,116.08999633789062
12,4,1,5.900000095367432,5.900000095367432
12,5,4,133.9300012588501,33.482500314712524
12,6,3,72.44999980926514,24.14999993642171
12,7,3,89.94000244140625,29.980000813802082
12,8,2,119.58999633789062,59.79499816894531
12,9,6,169.73999881744385,28.289999802907307
12,10,31,1587.6299953460693,51.21387081761514
12,11,300,8936.379983901978,29.787933279673258
12,12,1545486,34069037.68501274,22.044222778474047
12,13,622050,24295059.70606529,39.056441935640684
12,14,10099,795327.1108365059,78.75305583092444
12,15,426,34066.940150260925,79.96934307572987
12,16,90,8077.339988708496,89.74822209676107
12,17,41,5524.580014228821,134.745854005581
12,18,22,1733.5800366401672,78.79909257455306
12,19,8,399.7799987792969,49.97249984741211
12,20,9,2357.8900108337402,261.9877789815267
12,21,1,33.54999923706055,33.54999923706055
12,22,3,42.0,14.0
12,23,3,191.5800018310547,63.86000061035156
13,0,253,13954.240060329437,55.15509905268552
13,1,1,75.75,75.75
13,2,1,71.5,71.5
13,4,1,51.150001525878906,51.150001525878906
13,5,1,88.5,88.5
13,6,2,52.17999839782715,26.089999198913574
13,7,4,229.20000457763672,57.30000114440918
13,8,8,423.83000564575195,52.978750705718994
13,9,2,34.0,17.0
13,10,6,396.0900011062622,66.01500018437703
13,11,27,1371.1900177001953,50.7848154703776
13,12,332,10333.579998970032,31.125240960753107
13,13,1583276,34873403.602550894,22.02610511531211
13,14,666689,27319187.478127178,40.977408474006886
13,15,15767,1348674.1027450562,85.53777527399355
13,16,457,38047.44003677368,83.25479220300586
13,17,86,7219.350043296814,83.94593073600946
13,18,33,2475.329996109009,75.00999988209118
13,19,13,1609.1300206184387,123.77923235526451
13,20,5,1947.2899780273438,389.45799560546874
13,21,5,317.5500030517578,63.51000061035156
13,23,2,147.4800033569336,73.7400016784668
14,0,308,17227.230054855347,55.93256511316671
14,2,1,95.83999633789062,95.83999633789062
14,3,1,20.299999237060547,20.299999237060547
14,4,3,149.02000045776367,49.673333485921226
14,5,3,16.799999713897705,5.599999904632568
14,6,4,459.76000595092773,114.94000148773193
14,7,1,123.9000015258789,123.9000015258789
14,8,5,330.41000175476074,66.08200035095214
14,9,6,249.53000450134277,41.58833408355713
14,10,5,233.85000038146973,46.77000007629395
14,11,7,479.26999950408936,68.46714278629848
14,12,36,2006.3900003433228,55.7330555650923
14,13,340,11249.580041885376,33.08700012319228
14,14,1656910,36493906.23123705,22.025279726259754
14,15,748159,31671098.940615036,42.33204297564426
14,16,25970,2320243.574973583,89.3432258364876
14,17,690,66354.68010139465,96.1662030454995
14,18,104,11895.990060806274,114.38451981544495
14,19,29,3130.3600273132324,107.94344921769768
14,20,11,630.1599988937378,57.287272626703434
14,21,5,365.52999782562256,73.1059995651245
14,22,4,212.89000129699707,53.22250032424927
14,23,2,86.69000244140625,43.345001220703125
15,0,320,17707.860088825226,55.33706277757883
15,1,1,16.100000381469727,16.100000381469727
15,3,1,18.100000381469727,18.100000381469727
15,4,5,212.29000091552734,42.45800018310547
15,5,4,86.5,21.625
15,6,4,71.4000015258789,17.850000381469727
15,7,6,372.19000244140625,62.03166707356771
15,8,2,85.44000244140625,42.720001220703125
15,9,10,300.2900037765503,30.02900037765503
15,10,3,168.1300048828125,56.0433349609375
15,11,4,215.1400032043457,53.785000801086426
15,12,9,433.3600025177002,48.151111390855576
15,13,32,1337.660011291504,41.8018753528595
15,14,471,14991.420009613037,31.828917217862074
15,15,1720461,37477788.54638682,21.783573441296735
15,16,760052,32526622.843173694,42.795259854817424
15,17,29628,2724297.624909997,91.9501020963277
15,18,915,95259.10023117065,104.10830626357449
15,19,103,10266.789995193481,99.67757276886876
15,20,31,3998.080020904541,128.9703232549852
15,21,6,734.1700162887573,122.36166938145955
15,22,7,526.0000095367432,75.14285850524902
15,23,6,550.3799991607666,91.72999986012776
16,0,288,17155.28005862236,59.566944647994305
16,1,1,13.930000305175781,13.930000305175781
16,2,1,85.75,85.75
16,4,2,98.84000205993652,49.42000102996826
16,5,4,178.28000164031982,44.570000410079956
16,6,4,182.79000234603882,45.697500586509705
16,7,5,177.04999923706055,35.40999984741211
16,8,5,183.30000281333923,36.66000056266785
16,9,7,412.78000259399414,58.96857179914202
16,10,6,344.59998893737793,57.43333148956299
16,11,4,141.25000190734863,35.31250047683716
16,12,6,330.089994430542,55.014999071756996
16,13,11,663.910008430481,60.3554553118619
16,14,46,2792.4399881362915,60.70521713339764
16,15,450,16094.98006105423,35.766622357898285
16,16,1735010,40863959.43043408,23.552578619393593
16,17,794861,35367847.72697835,44.49563851664423
16,18,30047,2898934.544957876,96.47999949938018
16,19,615,65530.61010360718,106.55383756684094
16,20,54,4525.250022888184,83.80092634978118
16,21,22,2128.8500022888184,96.76590919494629
16,22,3,190.47999954223633,63.493333180745445
16,23,14,852.5300006866455,60.89500004904611
17,0,252,13905.270029067993,55.17964297249203
17,1,1,81.94000244140625,81.94000244140625
17,4,1,51.0,51.0
17,5,1,79.0,79.0
17,6,11,555.4700050354004,50.4972731850364
17,7,5,184.9399995803833,36.98799991607666
17,8,9,470.16999435424805,52.241110483805336
17,9,3,94.8499984741211,31.616666158040363
17,10,5,360.2100028991699,72.04200057983398
17,11,3,101.69000053405762,33.896666844685875
17,12,5,148.32999801635742,29.665999603271484
17,13,5,229.1100034713745,45.822000694274905
17,14,4,236.59999656677246,59.149999141693115
17,15,34,1696.4700212478638,49.8961770955254
17,16,409,13314.230033874512,32.553129667174844
17,17,1947799,45076104.96363852,23.14207213559434
17,18,849043,35078602.133603595,41.315460033948334
17,19,15295,1485489.9240396023,97.12258411504428
17,20,303,34504.63013076782,113.87666709824364
17,21,44,4918.090013504028,111.77477303418246
17,22,21,985.39000415802,46.923333531334286
17,23,6,405.86000204086304,67.64333367347717
18,0,245,13674.0599899292,55.81248975481306
18,1,3,152.63000392913818,50.876667976379395
18,2,4,2318.4700317382812,579.6175079345703
18,4,4,116.21999835968018,29.054999589920044
18,5,6,445.3999996185303,74.23333326975505
18,6,10,452.88000679016113,45.288000679016115
18,7,9,473.9900007247925,52.66555563608805
18,8,7,397.3000030517578,56.75714329310826
18,9,7,384.6000032424927,54.94285760607038
18,10,7,259.660005569458,37.094286509922576
18,11,10,580.8599948883057,58.085999488830566
18,12,5,312.69000244140625,62.53800048828125
18,13,5,262.3400001525879,52.46800003051758
18,14,1,85.94000244140625,85.94000244140625
18,15,9,415.5299987792969,46.16999986436632
18,16,33,1984.9200038909912,60.149091026999734
18,17,384,12166.720010757446,31.68416669468085
18,18,2172593,50173485.386844575,23.09382631116117
18,19,777260,30855162.490457453,39.697350295213255
18,20,4962,476198.96151161194,95.96915790238047
18,21,120,13362.220093727112,111.3518341143926
18,22,37,4409.030051231384,119.16297435760498
18,23,14,2336.869956970215,166.91928264072962
19,0,185,11594.150001525879,62.67108108932908
19,1,2,270.29998779296875,135.14999389648438
19,2,1,87.69000244140625,87.69000244140625
19,3,3,237.98000526428223,79.32666842142741
19,4,2,153.4000015258789,76.70000076293945
19,5,4,250.83000564575195,62.70750141143799
19,6,7,916.4800300598145,130.9257185799735
19,7,10,404.6500039100647,40.46500039100647
19,8,7,160.5299997329712,22.93285710471017
19,9,8,313.120005607605,39.14000070095062
19,10,5,63.09999942779541,12.619999885559082
19,11,7,257.7800016403198,36.825714520045686
19,12,3,213.50999450683594,71.16999816894531
19,13,3,167.28000450134277,55.76000150044759
19,14,1,47.9900016784668,47.9900016784668
19,15,5,1127.6900253295898,225.53800506591796
19,16,6,317.7300033569336,52.95500055948893
19,17,40,2264.2800130844116,56.60700032711029
19,18,356,11761.689989089966,33.038455025533615
19,19,1962615,45996581.75786405,23.436375324688772
19,20,632562,25390451.42373827,40.13907162260501
19,21,2249,244331.4308400154,108.64003149845061
19,22,85,7376.130044937134,86.77800052867217
19,23,21,2705.2900161743164,128.82333410353888
20,0,197,13958.050040245056,70.85304588956882
20,1,12,2374.9499740600586,197.91249783833823
20,2,4,366.57999420166016,91.64499855041504
20,3,3,75.8400011062622,25.28000036875407
20,4,2,36.60000038146973,18.300000190734863
20,5,6,367.02000427246094,61.17000071207682
20,6,3,80.9399995803833,26.979999860127766
20,7,4,98.14999961853027,24.53749990463257
20,8,7,197.41000080108643,28.20142868586949
20,9,4,153.92999744415283,38.48249936103821
20,10,7,230.09000396728516,32.870000566755024
20,11,4,111.17999839782715,27.794999599456787
20,12,3,137.0200023651123,45.6733341217041
20,13,6,267.9300022125244,44.65500036875407
20,14,3,54.77999973297119,18.2599999109904
20,15,3,156.28000450134277,52.09333483378092
20,16,2,177.94000244140625,88.97000122070312
20,17,5,218.54000091552734,43.70800018310547
20,18,37,1558.0700025558472,42.11000006907695
20,19,325,10073.760027885437,30.99618470118596
20,20,1764434,41223736.502490796,23.363716921398474
20,21,591975,22567224.75503218,38.12192196466435
20,22,1181,134952.2303237915,114.26945836053471
20,23,57,5945.240026473999,104.302456604807
21,0,228,15490.340007781982,67.94008775342975
21,1,11,489.0500068664551,44.4590915333141
21,2,5,1091.7900009155273,218.35800018310547
21,3,4,585.0500059127808,146.2625014781952
21,4,2,104.14999771118164,52.07499885559082
21,5,6,276.5700035095215,46.09500058492025
21,6,6,128.00000190734863,21.333333651224773
21,7,8,236.07000255584717,29.508750319480896
21,8,11,414.3000011444092,37.66363646767356
21,9,4,57.5,14.375
21,10,4,161.2400026321411,40.31000065803528
21,11,4,110.89999961853027,27.72499990463257
21,12,9,360.19000148773193,40.02111127641466
21,13,5,147.11999893188477,29.423999786376953
21,14,4,191.25,47.8125
21,15,5,76.0,15.2
21,16,2,91.75,45.875
21,17,2,186.34000396728516,93.17000198364258
21,18,7,348.81000423431396,49.830000604902
21,19,31,1510.8100261688232,48.73580729576849
21,20,336,11114.380043029785,33.078512032826744
21,21,1803262,42742690.433234006,23.70298405513675
21,22,600819,22351390.554415274,37.201537492015525
21,23,982,123277.18032550812,125.53684350866408
22,0,1453,165647.78049564362,114.00397831771755
22,1,48,9076.060012817383,189.08458360036215
22,2,7,1913.250015258789,273.3214307512556
22,3,4,175.45000171661377,43.86250042915344
22,4,1,141.89999389648438,141.89999389648438
22,5,10,440.46000480651855,44.046000480651855
22,6,12,524.2400088310242,43.68666740258535
22,7,8,272.7800016403198,34.09750020503998
22,8,9,290.8900022506714,32.32111136118571
22,9,7,144.03000164031982,20.57571452004569
22,10,5,204.92999744415283,40.985999488830565
22,11,10,513.6500015258789,51.36500015258789
22,12,4,121.68000030517578,30.420000076293945
22,13,8,141.68999862670898,17.711249828338623
22,14,5,163.79000186920166,32.75800037384033
22,15,6,216.35000228881836,36.05833371480306
22,16,4,158.8000020980835,39.700000524520874
22,17,2,116.54000091552734,58.27000045776367
22,18,7,355.6199941635132,50.80285630907331
22,19,18,797.7000102996826,44.316667238871254
22,20,24,1296.439995765686,54.01833315690359
22,21,308,9939.060030937195,32.26967542512076
22,22,1699095,41424878.79839913,24.380554823832174
22,23,527305,20337960.897994384,38.569634078937966
23,0,392187,16302972.679137954,41.569385724508855
23,1,847,115227.49050235748,136.0419014195484
23,2,45,11584.860013008118,257.4413336224026
23,3,5,315.63000106811523,63.126000213623044
23,4,5,1016.5599975585938,203.31199951171874
23,5,11,401.2400074005127,36.476364309137516
23,6,15,1068.479992866516,71.23199952443441
23,7,9,316.1300048828125,35.12555609809028
23,8,8,409.580002784729,51.197500348091125
23,9,14,930.3899984359741,66.45642845971244
23,10,11,348.5000066757202,31.681818788701836
23,11,14,954.2000303268433,68.15714502334595
23,12,6,824.0399789810181,137.33999649683633
23,13,9,446.02000617980957,49.557778464423286
23,14,12,429.45000076293945,35.787500063578285
23,15,6,288.7700023651123,48.128333727518715
23,16,14,1073.9500017166138,76.71071440832955
23,17,4,308.8100070953369,77.20250177383423
23,18,6,246.00000286102295,41.00000047683716
23,19,10,558.1200046539307,55.81200046539307
23,20,13,565.9199991226196,43.532307624816895
23,21,22,1205.6700048446655,54.803182038393885
23,22,254,8387.340021133423,33.021023705249696
23,23,1338440,33334494.156617455,24.9054826190322
