source_year,pickup_hour,total_rides,total_revenue,avg_fare
2017,0,299852,4969988.476797998,16.574805159872195
2017,1,217887,3410126.3813951015,15.6508941854957
2017,2,162662,2459767.6335946023,15.121956164283006
2017,3,115787,1812324.9243620932,15.652231462617506
2017,4,87720,1592281.645806849,18.1518655472737
2017,5,90137,1784215.6679728627,19.794486925156846
2017,6,201755,3226976.63267383,15.99453115250591
2017,7,335635,5152857.523638308,15.352563122553692
2017,8,395161,6621432.859420896,16.756291383564914
2017,9,404472,6458079.920190807,15.96669218188356
2017,10,405709,6531883.112401204,16.09992164926389
2017,11,424413,6905492.9713556655,16.27069145232513
2017,12,445478,7305143.541478528,16.39843839982789
2017,13,453127,7672036.350619532,16.931315835559417
2017,14,480927,8390666.130477522,17.446860189753377
2017,15,474291,8226178.699143559,17.344159385574592
2017,16,436540,8024582.9785526395,18.38223983724891
2017,17,496770,8813197.665651709,17.74100220555128
2017,18,554420,9201741.415952474,16.59705893718205
2017,19,563621,9124826.186746597,16.189649049177724
2017,20,523869,8558671.602164745,16.337427109000046
2017,21,502408,8366505.869674861,16.652811797731847
2017,22,474406,7979395.717931807,16.81976138145767
2017,23,398124,6798898.4556670785,17.077338858413658
2018,0,261144,4477931.597669899,17.147365429302987
2018,1,185899,2958389.712831259,15.91396248947686
2018,2,139489,2103291.1948771775,15.078545224907895
2018,3,99541,1543980.5561441332,15.511001056289702
2018,4,75417,1348908.636327058,17.886002311508786
2018,5,79509,1562230.6472691894,19.648475609920755
2018,6,183359,2958642.821166396,16.13579274083299
2018,7,299805,4760422.10059613,15.878394625160121
2018,8,347005,5630094.1861691475,16.224821504500362
2018,9,358158,5865927.765699327,16.378044789448587
2018,10,373783,6069448.358947933,16.237892999274802
2018,11,388904,6345295.778539062,16.31584087214084
2018,12,414552,6886773.257474005,16.61256792265869
2018,13,417917,7067955.514920801,16.912342677902075
2018,14,439231,7693654.51573652,17.516191971278257
2018,15,434104,7546498.7045508325,17.384080092675564
2018,16,410896,7551862.706216693,18.379012465968742
2018,17,465744,8249012.583456069,17.711473649593056
2018,18,511542,8570162.914022127,16.753586047718716
2018,19,499944,8198977.494100541,16.39979176487875
2018,20,460830,7636829.130754083,16.57190098464528
2018,21,443239,7458076.910092711,16.82631020756908
2018,22,415538,7107125.347314447,17.103430606381238
2018,23,343076,6040695.265417278,17.607455098629103
2019,0,198024,3965186.1651138663,20.02376562999367
2019,1,139165,2599918.205368519,18.682270724453122
2019,2,99234,1778202.0403215885,17.919282104133547
2019,3,67686,1250408.7826831043,18.473669336097633
2019,4,51385,1141823.6006997228,22.220951653200792
2019,5,59453,1444620.427884698,24.298528718226127
2019,6,135052,2720863.803991854,20.14678645256534
2019,7,243870,4568068.556926012,18.731572382523524
2019,8,292140,5503847.029242307,18.839758435141736
2019,9,297007,5652684.527891278,19.0321592686074
2019,10,304205,5954713.5975109935,19.57467364938444
2019,11,319215,6199474.24123019,19.42099914236546
2019,12,340593,6670359.348531187,19.584546213607403
2019,13,342496,6888422.834421992,20.112418347723747
2019,14,365232,7517156.477344364,20.58186707995018
2019,15,367149,7639963.067943186,20.80888976394648
2019,16,347554,7552539.5312165115,21.7305498748871
2019,17,393564,8234976.327883184,20.924109745513267
2019,18,432318,8512194.48121796,19.689660114124234
2019,19,419021,8116556.146065334,19.370284892798534
2019,20,382559,7526800.952968746,19.67487617065275
2019,21,366625,7239632.596439868,19.746696478526747
2019,22,336612,6720472.948572606,19.9650426858597
2019,23,267237,5413253.735408306,20.256378178950918
2020,0,17155,343004.9575326443,19.994459780393136
2020,1,10243,197327.64846804738,19.264634234896747
2020,2,5473,103374.97924333811,18.888174537427027
2020,3,3352,67775.94953918457,20.219555351785374
2020,4,3979,92141.32961422205,23.15690616090024
2020,5,8156,170187.66962397099,20.866560768019983
2020,6,25419,452602.5792065859,17.805679971933824
2020,7,44253,747878.5687020514,16.900064825029972
2020,8,61504,1019124.6179671288,16.570054272358362
2020,9,66413,1101390.3280346394,16.583956876434424
2020,10,73338,1216633.4173600767,16.589400002182725
2020,11,81471,1363919.79699713,16.741169213549973
2020,12,91012,1536771.0663664937,16.88536749402819
2020,13,94178,1617339.4959627483,17.173219817396294
2020,14,99186,1697362.6449342966,17.11292566424996
2020,15,100538,1765072.6139865518,17.556273389032523
2020,16,96520,1811376.3624013662,18.766850004158375
2020,17,98927,1800203.0329263806,18.19728722114671
2020,18,95695,1708738.6432689428,17.8560911569982
2020,19,82117,1465928.8542537987,17.85170980739431
2020,20,61318,1094769.105654776,17.85395977779406
2020,21,47432,858238.2564589381,18.09407691977859
2020,22,40641,767450.5358589888,18.88365285940279
2020,23,32563,629805.3461356759,19.34113399059288
2021,0,76721,1635745.5216751695,21.320701263997726
2021,1,50404,1004217.9848018289,19.923378795369988
2021,2,35404,695186.1463739276,19.635807998359724
2021,3,23316,484121.0774295926,20.763470467901552
2021,4,16634,418074.1376864314,25.133710333439424
2021,5,18423,550276.3375329077,29.868986458932188
2021,6,46840,1170735.1459617615,24.99434555853462
2021,7,87095,1864617.5138622522,21.409007564868848
2021,8,111173,2276910.9611011837,20.480790849407533
2021,9,127596,2496719.400503874,19.56737985911685
2021,10,143446,2757145.718245486,19.220791923410104
2021,11,155752,3002223.407576829,19.2756652086447
2021,12,169072,3383657.7859792206,20.013117405479445
2021,13,170270,3427981.9662782643,20.132624456911167
2021,14,184654,3834521.2728768587,20.765980010597435
2021,15,191660,4059613.7816997766,21.181330385577464
2021,16,190236,4219221.722597599,22.17888161335183
2021,17,205886,4340298.350387514,21.081075694255624
2021,18,212986,5098696.632281303,23.939116337605775
2021,19,191111,3773812.65443027,19.74670560266165
2021,20,163180,3230876.036253214,19.79946094039229
2021,21,148384,2987221.2173193693,20.131693560757018
2021,22,135338,2835770.116578102,20.953243853005823
2021,23,108108,2303667.1378795505,21.308942334328176
2022,0,92755,2093898.7687926888,22.57451101064836
2022,1,59574,1228139.5134090781,20.615360952917012
2022,2,39041,772401.0356363952,19.784355821736
2022,3,26004,544451.4070815742,20.937217623503084
2022,4,18123,492303.3076212108,27.16455926839987
2022,5,21984,690166.557564497,31.39403919052479
2022,6,53927,1356688.0655805469,25.15786276968025
2022,7,98674,2241810.342410922,22.719362166436163
2022,8,123767,2784828.2376501746,22.50057153886072
2022,9,138260,2971289.736058712,21.490595516119715
2022,10,151490,3207540.0035669897,21.17327878782091
2022,11,164507,3573858.5521391165,21.724659449987637
2022,12,174521,3893532.981098065,22.309825070324287
2022,13,176170,4053012.8802374303,23.006260318087246
2022,14,189940,4473074.258795321,23.5499329198448
2022,15,188149,4517851.818638027,24.012095831697362
2022,16,188545,4658077.382895857,24.705388012919233
2022,17,206426,5048833.085967392,24.458319620432462
2022,18,217841,4821948.9910853505,22.13517653281683
2022,19,204248,4407740.732570767,21.580337298630916
2022,20,182059,3856858.001850635,21.184659928103716
2022,21,173989,3785558.531940311,21.757458988443588
2022,22,160427,3588218.1824742854,22.36667258300838
2022,23,133269,3072979.484181702,23.05847184402751
2023,0,80212,2379391.8714425564,29.66378935125114
2023,1,52080,1413404.5007972717,27.139103317919965
2023,2,34496,876412.2302267551,25.40619869627653
2023,3,23100,599507.1200151443,25.952689178144777
2023,4,16077,531292.9099262953,33.04676929317007
2023,5,17385,658642.549868226,37.88568017648697
2023,6,43311,1361625.4592208862,31.438328813024086
2023,7,86618,2409772.4673349857,27.82068931786679
2023,8,114412,3174423.2854247093,27.74554492032924
2023,9,125097,3475850.453856716,27.78524228284224
2023,10,134991,3962155.985975027,29.35126035050505
2023,11,144444,4173180.752782354,28.891340261847873
2023,12,154212,4482371.152716994,29.066292848267285
2023,13,153979,4632805.264238358,30.087253873829273
2023,14,163711,5090184.604795814,31.092502060312462
2023,15,169446,5447054.830405006,32.14625798428411
2023,16,171613,5658562.299955318,32.9728068383824
2023,17,193302,6034814.550034065,31.21961774856993
2023,18,199970,5876252.490307212,29.385670302081373
2023,19,180420,5204775.340130806,28.84810630822972
2023,20,165848,4783427.281606197,28.84223675658553
2023,21,159105,4628987.231718898,29.093914281253877
2023,22,145590,4319335.19099904,29.667801298159493
2023,23,117271,3605646.201537013,30.74627317526936
2024,0,112481,3080056.5613457337,27.382905213731508
2024,1,70879,1753588.5304202419,24.740593552677687
2024,2,47419,1084589.9101441652,22.8724753821077
2024,3,30172,723493.3897877932,23.978966915941704
2024,4,21165,626521.7299926467,29.601782659704547
2024,5,22910,813053.28946805,35.48901307149934
2024,6,54357,1607184.5480553508,29.567204740058333
2024,7,105949,2856363.5162526686,26.959796848036966
2024,8,136503,3665466.3339983597,26.85264304812612
2024,9,144221,3856873.641830353,26.742801962476705
2024,10,153451,4164571.380897293,27.13942158016105
2024,11,167736,4661746.660470128,27.792165429425573
2024,12,182884,5164792.209734917,28.240809528088388
2024,13,191246,5621564.389272565,29.394415513383628
2024,14,207514,6278877.919947863,30.25761114887604
2024,15,217285,6547036.010136552,30.131099754408044
2024,16,222142,7104089.986376306,31.979949700535272
2024,17,249458,7464649.287275875,29.92347123474042
2024,18,262880,7458996.827612374,28.374151048434168
2024,19,238737,6761275.4984823745,28.321020614661215
2024,20,220312,6111233.019771999,27.738992972566173
2024,21,213867,5980407.8797072265,27.963210218066493
2024,22,199669,5656290.3501840625,28.32833514558626
2024,23,159744,4639082.090746779,29.040728232339113
2098,2,1,25.799999237060547,25.799999237060547
